YEAR,MONTH,REGION,SECTIONS,WEIGHT,WGTADJ,STATUS,PRICE,SQFT,BEDROOMS,TITLED,LOCATION,FOUNDATION,SECURED
2014,1,2,2,2.427272727,1.081805946,2,83000,2400,3,1,3,1,9
2014,1,1,2,2.408333333,1.081805946,2,228600,1344,1,3,1,2,1
2014,1,3,2,17.38928571,1.081805946,2,81100,1000,3,2,3,2,1
2014,1,1,2,2.408333333,1.081805946,2,103700,2000,3,2,1,1,9
2014,1,3,1,34.77857143,0.927452179,2,51400,1152,1,2,1,3,1
2014,1,3,2,17.38928571,1.081805946,2,85200,2128,3,1,3,3,1
2014,1,4,2,5.784210526,1.081805946,1,91100,1680,3,9,9,9,9
2014,1,4,2,5.784210526,1.081805946,2,108000,2500,3,2,1,3,1
2014,1,2,2,2.427272727,1.081805946,2,86200,1536,3,2,3,2,1
2014,1,3,2,17.38928571,1.081805946,2,87300,1568,3,2,3,3,1
2014,1,2,2,2.427272727,1.081805946,2,72000,1100,3,2,3,3,1
2014,1,1,2,2.408333333,1.081805946,1,76300,1248,3,9,9,9,9
2014,1,3,2,17.38928571,1.081805946,1,131700,2500,3,9,9,9,9
2014,1,3,2,17.38928571,1.081805946,2,64900,1000,1,2,1,3,1
2014,1,3,1,34.77857143,0.927452179,3,9,9,9,9,9,9,9
2014,1,3,2,17.38928571,1.081805946,3,9,9,9,9,9,9,9
2014,1,4,2,5.784210526,1.081805946,1,87300,1568,3,9,9,9,9
2014,1,2,1,4.854545455,0.927452179,2,67100,1300,3,2,1,1,9
2014,1,4,2,5.784210526,1.081805946,2,68000,1188,3,2,3,1,9
2014,1,3,2,17.38928571,1.081805946,2,114900,1624,3,2,1,3,1
2014,1,1,1,4.816666667,0.927452179,2,59200,1024,1,2,1,2,1
2014,1,2,2,5.784210526,1.081805946,1,117500,1904,3,9,9,9,9
2014,1,3,1,34.77857143,0.927452179,2,40500,1280,3,2,3,3,1
2014,1,2,1,4.854545455,0.927452179,2,57300,1300,3,2,1,3,1
2014,1,3,1,34.77857143,0.927452179,3,9,9,9,9,9,9,9
2014,1,3,2,17.38928571,1.081805946,1,62000,1000,3,9,9,9,9
2014,1,3,1,34.77857143,0.927452179,2,44300,896,1,2,3,3,1
2014,1,5,3,3.856140351,1.081805946,2,190000,2400,3,2,1,3,1
2014,1,1,1,4.816666667,0.927452179,2,44900,960,1,2,1,1,9
2014,1,2,1,4.854545455,0.927452179,1,57300,1300,3,9,9,9,9
2014,1,2,2,2.427272727,1.081805946,2,79600,1344,3,2,3,2,1
2014,1,3,2,17.38928571,1.081805946,2,90000,2500,3,2,3,2,1
2014,1,4,2,5.784210526,1.081805946,2,91000,1568,3,2,1,3,1
2014,1,3,2,17.38928571,1.081805946,2,96800,1848,3,2,3,1,9
2014,1,2,2,2.427272727,1.081805946,2,76300,1248,3,2,3,3,1
2014,1,3,1,34.77857143,0.927452179,2,30800,1216,3,2,3,3,1
2014,1,1,1,4.816666667,0.927452179,2,84600,1120,1,2,1,2,1
2014,1,1,2,2.408333333,1.081805946,2,82900,1440,3,2,1,3,1
2014,1,1,2,2.408333333,1.081805946,1,94900,1792,3,9,9,9,9
2014,1,2,2,2.427272727,1.081805946,2,75800,1232,3,1,1,2,1
2014,1,4,2,5.784210526,1.081805946,2,70100,1064,3,2,1,1,9
2014,1,2,2,2.427272727,1.081805946,2,67200,1456,3,2,1,2,1
2014,1,3,2,17.38928571,1.081805946,2,108000,2176,3,1,3,1,9
2014,1,2,2,2.427272727,1.081805946,2,116800,2400,3,2,1,3,1
2014,1,3,1,34.77857143,0.927452179,2,24500,924,3,2,1,3,1
2014,1,2,2,2.427272727,1.081805946,2,70700,2016,3,2,3,1,9
2014,1,4,2,5.784210526,1.081805946,2,61000,1296,3,1,1,1,9
2014,1,4,2,5.784210526,1.081805946,2,43200,1104,3,2,3,3,1
2014,1,1,2,2.408333333,1.081805946,2,95400,1680,3,2,1,3,1
2014,1,2,2,2.427272727,1.081805946,2,91100,1680,3,2,1,3,1
2014,1,2,2,2.427272727,1.081805946,2,91100,1680,3,2,1,3,1
2014,1,2,2,2.427272727,1.081805946,1,103700,2048,3,9,9,9,9
2014,1,4,2,5.784210526,1.081805946,2,54000,1296,3,2,3,3,1
2014,1,3,2,17.38928571,1.081805946,2,58900,1536,3,2,3,3,1
2014,1,4,1,11.56842105,0.927452179,2,50000,896,1,1,1,2,1
2014,1,1,2,2.408333333,1.081805946,2,58700,1344,3,2,3,3,1
